id;campaign_id;recipient_id;details;channel;intent_id;intent_type;event;created_date;updated_date
1;1383d983-82e7-434a-8990-7c82e182c979;bbd3a98e-ad54-4396-acf8-b08db3d45c3a;../fake-data/blob/hipster.txt;content-based Games;Home extensible withdrawal;programming;../fake-data/blob/hipster.txt;2020-05-24T07:04:52;2020-05-24T06:17:52
2;fef51eb5-37f7-4ca4-a8e4-0ca970cf4c2d;173fb222-b25d-40ed-957e-1ed136f119bf;../fake-data/blob/hipster.txt;hacking optical;software Jewelery Liberia;Soft Keyboard;../fake-data/blob/hipster.txt;2020-05-24T18:38:34;2020-05-24T13:29:36
3;fc0eec56-8a61-4caf-8608-1986de949c4f;9d12fd04-7a24-4a8e-83b1-c4b8af39c9d3;../fake-data/blob/hipster.txt;Berkshire;connect payment Total;Mexico;../fake-data/blob/hipster.txt;2020-05-24T09:25:17;2020-05-24T09:43:03
4;ae96d994-d975-4768-a61a-1a85768ff959;b459c6e0-b81b-4925-9a3d-db688e0e5816;../fake-data/blob/hipster.txt;Dam Automotive streamline;yellow parsing;invoice yellow clicks-and-mortar;../fake-data/blob/hipster.txt;2020-05-25T02:32:57;2020-05-24T21:08:28
5;e89becc6-c337-41bd-a57d-73003b7cc0d7;affdfb32-2514-48f0-99a2-666eb25d5863;../fake-data/blob/hipster.txt;Grocery;port;Ergonomic Frozen Shirt payment technologies;../fake-data/blob/hipster.txt;2020-05-24T10:28:31;2020-05-24T22:52:39
6;c220a951-72ab-410c-be88-08f134846461;e787942f-d20d-4223-9b70-b639a6f1064e;../fake-data/blob/hipster.txt;Knoll;Gourde US Dollar SCSI sticky;compressing PNG;../fake-data/blob/hipster.txt;2020-05-24T16:00:23;2020-05-24T16:06:21
7;f6057253-1382-4517-9095-a453eb61851a;bde0a5b3-ff9e-4e11-a7e0-511c02946bc6;../fake-data/blob/hipster.txt;Zimbabwe Dollar Avon Sleek Soft Gloves;Rustic Rubber Mouse;Home Loan Account Alabama proactive;../fake-data/blob/hipster.txt;2020-05-24T17:06:09;2020-05-24T20:18:12
8;ae0880be-7e90-43ae-bcb7-575b8cf40d12;f7233d53-dfc4-4ffb-9ad7-1801107515f1;../fake-data/blob/hipster.txt;El Salvador Colon US Dollar;Balboa US Dollar;visionary;../fake-data/blob/hipster.txt;2020-05-24T07:30:53;2020-05-24T11:39:06
9;252dd0ae-ca46-42ac-b05b-213f4b2ff47e;48c18056-e318-442f-aa44-5b207aacf42b;../fake-data/blob/hipster.txt;International Money Market Account stable;Kentucky portals Steel;Tasty;../fake-data/blob/hipster.txt;2020-05-24T03:49:53;2020-05-24T17:58:07
10;aa7177e0-d612-4e1b-b01a-d09062c49ed2;ff3de61e-c278-4d7d-93e9-d846563342dc;../fake-data/blob/hipster.txt;ADP solid state;Trail;ADP Fiji Dollar;../fake-data/blob/hipster.txt;2020-05-24T09:24:46;2020-05-24T14:02:45
