id;user_id;facebook;viber;created_date
1;0f18bbe5-fffe-474c-8ece-6c60599b3ab2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T02:23:18
2;e65b4d38-7184-4ec3-99a4-e73a24c33c8b;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:58:15
3;03dfe525-2c54-465f-9c11-6464a161ca50;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T21:06:38
4;3625b490-ee57-43b5-89e0-48efcdf244e0;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T21:02:47
5;507f456a-b975-4772-9b85-bcda739048a9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T06:51:42
6;0185bfd0-52e8-468c-9ce9-4284025a154a;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T06:22:16
7;e49ba979-a7dd-4689-ae80-812fa015bd6a;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T08:38:40
8;818071b8-c9fb-42c6-9097-8700ff1276bb;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T23:05:55
9;5a9e569f-0843-4899-a3e1-84c55792b618;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T13:16:40
10;6a51d172-019a-4a5d-857b-76b8a512fed5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T00:38:42
